class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right
3,164,161,90,105,159,21,171,175
3,161,162,79,89,74,97,176,172
3,178,173,161,122,64,114,156,157
3,154,134,96,105,111,70,175,178
3,165,151,128,108,62,110,176,174
3,158,157,115,99,73,112,177,179
3,156,160,96,105,69,101,164,175
3,174,165,95,114,113,65,174,177
3,174,169,78,120,111,66,170,177
3,164,169,117,102,101,79,179,177
3,155,158,159,150,111,65,176,179
3,155,152,101,82,5,174,169,166
3,176,175,125,106,87,89,179,173
3,178,174,108,106,96,82,177,178
3,161,160,75,118,33,142,169,175
3,148,156,136,163,72,103,172,177
3,175,177,106,119,69,109,171,177
3,146,147,114,112,37,129,155,177
3,162,172,128,110,131,47,179,180
3,170,173,101,122,73,106,176,179
3,178,175,127,104,12,167,178,178
3,147,139,60,140,25,142,167,174
3,157,148,99,92,84,100,180,177
3,152,150,157,125,8,171,178,178
3,173,175,139,134,97,82,179,175
3,172,167,99,100,115,62,176,173
3,156,151,115,120,109,55,163,178
3,143,150,140,142,94,83,167,178
3,168,166,108,99,128,52,178,176
3,154,157,97,86,86,94,179,178
3,160,156,92,111,72,105,174,180
3,167,170,120,109,152,27,179,179
3,170,173,125,109,154,26,180,179
3,180,178,126,116,111,67,177,174
3,158,160,158,157,7,176,177,180
3,171,173,101,100,130,48,178,180
3,180,175,102,115,99,81,177,180
3,179,170,96,109,110,70,179,176
3,177,177,122,126,160,19,179,180
3,162,167,121,98,96,88,168,173
3,164,167,148,137,111,68,166,168
3,178,176,50,3,136,45,179,177
3,178,176,123,106,65,114,174,171
3,172,170,95,116,70,100,174,175
3,155,153,80,76,90,87,170,173
3,174,174,113,97,108,72,179,178
3,155,152,103,73,115,64,166,166
4,55,61,172,178,96,83,92,91
4,75,75,172,171,9,170,94,86
4,71,70,176,176,12,168,100,94
4,59,57,178,179,85,89,70,87
4,70,68,176,177,33,146,90,94
4,69,69,177,178,128,50,89,91
4,62,65,172,179,21,159,94,94
4,82,82,166,161,78,99,79,79
4,69,64,169,167,140,38,75,78
4,65,65,177,178,68,109,92,98
4,79,77,174,172,1,179,90,83
4,73,70,177,174,12,170,85,86
4,66,68,173,177,105,72,82,85
4,19,16,109,112,61,117,129,129
4,68,68,178,179,136,43,94,98
4,69,69,174,177,176,7,88,86
4,71,67,176,173,167,5,89,79
4,68,69,179,178,80,99,89,89
4,69,70,178,178,18,162,86,83
4,71,72,178,176,134,45,89,86
4,65,72,178,175,3,175,100,99
4,54,57,168,167,117,56,94,89
4,65,63,180,179,128,52,99,104
4,65,66,177,176,166,15,82,82
